algorithm,function,seed_type,seed,eval_count,best_f
RS,sphere,pilot,0,9500.0,13.89087352543906
RS,sphere,pilot,0,9600.0,13.89087352543906
RS,sphere,pilot,0,9700.0,13.89087352543906
RS,sphere,pilot,0,9800.0,13.89087352543906
RS,sphere,pilot,0,9900.0,13.89087352543906
RS,sphere,pilot,0,10000.0,13.89087352543906
RS,sphere,pilot,0,10100.0,13.89087352543906
RS,sphere,pilot,0,10200.0,13.89087352543906
RS,sphere,pilot,0,10300.0,13.89087352543906
RS,sphere,pilot,0,10400.0,13.89087352543906
RS,sphere,pilot,0,10500.0,13.89087352543906
RS,sphere,pilot,0,10600.0,13.89087352543906
RS,sphere,pilot,0,10700.0,13.89087352543906
RS,sphere,pilot,0,10800.0,13.89087352543906
RS,sphere,pilot,0,10900.0,13.89087352543906
RS,sphere,pilot,0,11000.0,13.89087352543906
RS,sphere,pilot,0,11100.0,13.89087352543906
RS,sphere,pilot,0,11200.0,13.89087352543906
RS,sphere,pilot,0,11300.0,13.89087352543906
RS,sphere,pilot,0,11400.0,13.89087352543906
RS,sphere,pilot,0,11500.0,13.89087352543906
RS,sphere,pilot,0,11600.0,13.89087352543906
RS,sphere,pilot,0,11700.0,13.89087352543906
RS,sphere,pilot,0,11800.0,13.89087352543906
RS,sphere,pilot,0,11900.0,13.89087352543906
RS,sphere,pilot,0,12000.0,13.89087352543906
RS,sphere,pilot,0,12100.0,13.89087352543906
RS,sphere,pilot,0,12200.0,13.89087352543906
RS,sphere,pilot,0,12300.0,13.89087352543906
RS,sphere,pilot,0,12400.0,13.89087352543906
RS,sphere,pilot,0,12500.0,13.89087352543906
RS,sphere,pilot,0,12600.0,13.89087352543906
RS,sphere,pilot,0,12700.0,13.89087352543906
RS,sphere,pilot,0,12800.0,13.89087352543906
RS,sphere,pilot,0,12900.0,13.89087352543906
RS,sphere,pilot,0,13000.0,13.89087352543906
RS,sphere,pilot,0,13100.0,13.89087352543906
RS,sphere,pilot,0,13200.0,13.89087352543906
RS,sphere,pilot,0,13300.0,13.89087352543906
RS,sphere,pilot,0,13400.0,13.89087352543906
RS,sphere,pilot,0,13500.0,13.89087352543906
RS,sphere,pilot,0,13600.0,13.89087352543906
RS,sphere,pilot,0,13700.0,13.89087352543906
RS,sphere,pilot,0,13800.0,13.89087352543906
RS,sphere,pilot,0,13900.0,13.89087352543906
RS,sphere,pilot,0,14000.0,13.89087352543906
RS,sphere,pilot,0,14100.0,13.89087352543906
RS,sphere,pilot,0,14200.0,13.89087352543906
RS,sphere,pilot,0,14300.0,13.89087352543906
RS,sphere,pilot,0,14400.0,13.89087352543906
RS,sphere,pilot,0,14500.0,13.89087352543906
RS,sphere,pilot,0,14600.0,13.89087352543906
RS,sphere,pilot,0,14700.0,13.89087352543906
RS,sphere,pilot,0,14800.0,13.89087352543906
RS,sphere,pilot,0,14900.0,13.89087352543906
RS,sphere,pilot,0,15000.0,13.89087352543906
RS,sphere,pilot,0,15100.0,13.89087352543906
RS,sphere,pilot,0,15200.0,13.89087352543906
RS,sphere,pilot,0,15300.0,13.89087352543906
RS,sphere,pilot,0,15400.0,13.89087352543906
RS,sphere,pilot,0,15500.0,13.89087352543906
RS,sphere,pilot,0,15600.0,13.89087352543906
RS,sphere,pilot,0,15700.0,13.89087352543906
RS,sphere,pilot,0,15800.0,13.89087352543906
RS,sphere,pilot,0,15900.0,13.89087352543906
RS,sphere,pilot,0,16000.0,13.89087352543906
RS,sphere,pilot,0,16100.0,13.89087352543906
RS,sphere,pilot,0,16200.0,13.89087352543906
RS,sphere,pilot,0,16300.0,13.89087352543906
RS,sphere,pilot,0,16400.0,13.89087352543906
RS,sphere,pilot,0,16500.0,13.89087352543906
RS,sphere,pilot,0,16600.0,13.89087352543906
RS,sphere,pilot,0,16700.0,13.89087352543906
RS,sphere,pilot,0,16800.0,13.89087352543906
RS,sphere,pilot,0,16900.0,13.89087352543906
RS,sphere,pilot,0,17000.0,13.89087352543906
RS,sphere,pilot,0,17100.0,13.89087352543906
RS,sphere,pilot,0,17200.0,13.09077336341792
RS,sphere,pilot,0,17300.0,13.09077336341792
RS,sphere,pilot,0,17400.0,13.09077336341792
RS,sphere,pilot,0,17500.0,13.09077336341792
RS,sphere,pilot,0,17600.0,13.09077336341792
RS,sphere,pilot,0,17700.0,13.09077336341792
RS,sphere,pilot,0,17800.0,13.09077336341792
RS,sphere,pilot,0,17900.0,13.09077336341792
RS,sphere,pilot,0,18000.0,13.09077336341792
RS,sphere,pilot,0,18100.0,13.09077336341792
RS,sphere,pilot,0,18200.0,13.09077336341792
RS,sphere,pilot,0,18300.0,13.09077336341792
RS,sphere,pilot,0,18400.0,13.09077336341792
RS,sphere,pilot,0,18500.0,13.09077336341792
RS,sphere,pilot,0,18600.0,13.09077336341792
RS,sphere,pilot,0,18700.0,13.09077336341792
RS,sphere,pilot,0,18800.0,13.09077336341792
RS,sphere,pilot,0,18900.0,13.09077336341792
RS,sphere,pilot,0,19000.0,13.09077336341792
RS,sphere,pilot,0,19100.0,13.09077336341792
RS,sphere,pilot,0,19200.0,13.09077336341792
RS,sphere,pilot,0,19300.0,13.09077336341792
RS,sphere,pilot,0,19400.0,13.09077336341792
RS,sphere,pilot,0,19500.0,13.09077336341792
RS,sphere,pilot,0,19600.0,13.09077336341792
RS,sphere,pilot,0,19700.0,13.09077336341792
RS,sphere,pilot,0,19800.0,13.09077336341792
RS,sphere,pilot,0,19900.0,13.09077336341792
RS,sphere,pilot,0,20000.0,13.09077336341792
RS,sphere,pilot,1,100.0,40.59030730081699
RS,sphere,pilot,1,200.0,24.68227049490168
RS,sphere,pilot,1,300.0,24.68227049490168
RS,sphere,pilot,1,400.0,24.68227049490168
RS,sphere,pilot,1,500.0,24.68227049490168
RS,sphere,pilot,1,600.0,24.68227049490168
RS,sphere,pilot,1,700.0,24.68227049490168
RS,sphere,pilot,1,800.0,23.054730615490843
RS,sphere,pilot,1,900.0,23.054730615490843
RS,sphere,pilot,1,1000.0,18.514157761304187
RS,sphere,pilot,1,1100.0,18.514157761304187
RS,sphere,pilot,1,1200.0,18.514157761304187
RS,sphere,pilot,1,1300.0,18.514157761304187
RS,sphere,pilot,1,1400.0,18.514157761304187
RS,sphere,pilot,1,1500.0,18.514157761304187
RS,sphere,pilot,1,1600.0,18.514157761304187
RS,sphere,pilot,1,1700.0,18.514157761304187
RS,sphere,pilot,1,1800.0,18.514157761304187
RS,sphere,pilot,1,1900.0,18.514157761304187
RS,sphere,pilot,1,2000.0,18.514157761304187
RS,sphere,pilot,1,2100.0,18.514157761304187
RS,sphere,pilot,1,2200.0,18.514157761304187
RS,sphere,pilot,1,2300.0,18.514157761304187
RS,sphere,pilot,1,2400.0,18.514157761304187
RS,sphere,pilot,1,2500.0,18.514157761304187
RS,sphere,pilot,1,2600.0,18.514157761304187
RS,sphere,pilot,1,2700.0,18.514157761304187
RS,sphere,pilot,1,2800.0,18.514157761304187
RS,sphere,pilot,1,2900.0,18.514157761304187
RS,sphere,pilot,1,3000.0,18.514157761304187
RS,sphere,pilot,1,3100.0,18.514157761304187
RS,sphere,pilot,1,3200.0,18.514157761304187
RS,sphere,pilot,1,3300.0,18.514157761304187
RS,sphere,pilot,1,3400.0,18.514157761304187
RS,sphere,pilot,1,3500.0,18.514157761304187
RS,sphere,pilot,1,3600.0,18.514157761304187
RS,sphere,pilot,1,3700.0,18.514157761304187
RS,sphere,pilot,1,3800.0,18.514157761304187
RS,sphere,pilot,1,3900.0,18.514157761304187
RS,sphere,pilot,1,4000.0,18.514157761304187
RS,sphere,pilot,1,4100.0,18.514157761304187
RS,sphere,pilot,1,4200.0,18.514157761304187
RS,sphere,pilot,1,4300.0,18.514157761304187
RS,sphere,pilot,1,4400.0,18.514157761304187
RS,sphere,pilot,1,4500.0,18.514157761304187
RS,sphere,pilot,1,4600.0,18.514157761304187
RS,sphere,pilot,1,4700.0,18.514157761304187
RS,sphere,pilot,1,4800.0,18.514157761304187
RS,sphere,pilot,1,4900.0,18.514157761304187
RS,sphere,pilot,1,5000.0,18.514157761304187
RS,sphere,pilot,1,5100.0,18.514157761304187
RS,sphere,pilot,1,5200.0,18.514157761304187
RS,sphere,pilot,1,5300.0,18.514157761304187
RS,sphere,pilot,1,5400.0,18.514157761304187
RS,sphere,pilot,1,5500.0,18.514157761304187
RS,sphere,pilot,1,5600.0,18.514157761304187
RS,sphere,pilot,1,5700.0,18.514157761304187
RS,sphere,pilot,1,5800.0,18.514157761304187
RS,sphere,pilot,1,5900.0,18.514157761304187
RS,sphere,pilot,1,6000.0,12.504232808602634
RS,sphere,pilot,1,6100.0,12.504232808602634
RS,sphere,pilot,1,6200.0,12.504232808602634
RS,sphere,pilot,1,6300.0,12.504232808602634
RS,sphere,pilot,1,6400.0,12.504232808602634
RS,sphere,pilot,1,6500.0,12.504232808602634
RS,sphere,pilot,1,6600.0,12.504232808602634
RS,sphere,pilot,1,6700.0,12.504232808602634
RS,sphere,pilot,1,6800.0,12.504232808602634
RS,sphere,pilot,1,6900.0,12.504232808602634
RS,sphere,pilot,1,7000.0,12.504232808602634
RS,sphere,pilot,1,7100.0,12.504232808602634
RS,sphere,pilot,1,7200.0,12.504232808602634
RS,sphere,pilot,1,7300.0,12.504232808602634
RS,sphere,pilot,1,7400.0,12.504232808602634
RS,sphere,pilot,1,7500.0,12.504232808602634
RS,sphere,pilot,1,7600.0,12.504232808602634
RS,sphere,pilot,1,7700.0,12.504232808602634
RS,sphere,pilot,1,7800.0,12.504232808602634
RS,sphere,pilot,1,7900.0,12.504232808602634
RS,sphere,pilot,1,8000.0,12.504232808602634
RS,sphere,pilot,1,8100.0,12.504232808602634
RS,sphere,pilot,1,8200.0,12.504232808602634
RS,sphere,pilot,1,8300.0,12.504232808602634
RS,sphere,pilot,1,8400.0,12.504232808602634
RS,sphere,pilot,1,8500.0,12.504232808602634
RS,sphere,pilot,1,8600.0,12.504232808602634
RS,sphere,pilot,1,8700.0,12.504232808602634
RS,sphere,pilot,1,8800.0,12.504232808602634
RS,sphere,pilot,1,8900.0,12.504232808602634
RS,sphere,pilot,1,9000.0,12.504232808602634
RS,sphere,pilot,1,9100.0,12.504232808602634
RS,sphere,pilot,1,9200.0,12.504232808602634
RS,sphere,pilot,1,9300.0,12.504232808602634
RS,sphere,pilot,1,9400.0,12.504232808602634
RS,sphere,pilot,1,9500.0,12.504232808602634
RS,sphere,pilot,1,9600.0,12.504232808602634
RS,sphere,pilot,1,9700.0,12.504232808602634
RS,sphere,pilot,1,9800.0,12.504232808602634
RS,sphere,pilot,1,9900.0,12.504232808602634
RS,sphere,pilot,1,10000.0,12.504232808602634
RS,sphere,pilot,1,10100.0,12.504232808602634
RS,sphere,pilot,1,10200.0,12.504232808602634
RS,sphere,pilot,1,10300.0,12.504232808602634
RS,sphere,pilot,1,10400.0,12.504232808602634
RS,sphere,pilot,1,10500.0,12.504232808602634
RS,sphere,pilot,1,10600.0,12.504232808602634
RS,sphere,pilot,1,10700.0,12.504232808602634
RS,sphere,pilot,1,10800.0,12.504232808602634
RS,sphere,pilot,1,10900.0,12.504232808602634
RS,sphere,pilot,1,11000.0,12.504232808602634
RS,sphere,pilot,1,11100.0,12.504232808602634
RS,sphere,pilot,1,11200.0,12.504232808602634
RS,sphere,pilot,1,11300.0,12.504232808602634
RS,sphere,pilot,1,11400.0,12.504232808602634
RS,sphere,pilot,1,11500.0,12.504232808602634
RS,sphere,pilot,1,11600.0,12.504232808602634
RS,sphere,pilot,1,11700.0,12.504232808602634
RS,sphere,pilot,1,11800.0,12.504232808602634
RS,sphere,pilot,1,11900.0,12.504232808602634
RS,sphere,pilot,1,12000.0,12.504232808602634
RS,sphere,pilot,1,12100.0,12.504232808602634
RS,sphere,pilot,1,12200.0,12.504232808602634
RS,sphere,pilot,1,12300.0,12.504232808602634
RS,sphere,pilot,1,12400.0,12.504232808602634
RS,sphere,pilot,1,12500.0,12.504232808602634
RS,sphere,pilot,1,12600.0,12.504232808602634
RS,sphere,pilot,1,12700.0,12.504232808602634
RS,sphere,pilot,1,12800.0,12.504232808602634
RS,sphere,pilot,1,12900.0,12.504232808602634
RS,sphere,pilot,1,13000.0,12.504232808602634
RS,sphere,pilot,1,13100.0,12.504232808602634
RS,sphere,pilot,1,13200.0,12.504232808602634
RS,sphere,pilot,1,13300.0,12.504232808602634
RS,sphere,pilot,1,13400.0,12.504232808602634
RS,sphere,pilot,1,13500.0,12.504232808602634
RS,sphere,pilot,1,13600.0,12.504232808602634
RS,sphere,pilot,1,13700.0,12.504232808602634
RS,sphere,pilot,1,13800.0,12.504232808602634
RS,sphere,pilot,1,13900.0,12.504232808602634
RS,sphere,pilot,1,14000.0,12.504232808602634
RS,sphere,pilot,1,14100.0,12.504232808602634
RS,sphere,pilot,1,14200.0,12.504232808602634
RS,sphere,pilot,1,14300.0,12.504232808602634
RS,sphere,pilot,1,14400.0,12.504232808602634
RS,sphere,pilot,1,14500.0,12.504232808602634
RS,sphere,pilot,1,14600.0,12.504232808602634
RS,sphere,pilot,1,14700.0,12.504232808602634
RS,sphere,pilot,1,14800.0,12.504232808602634
RS,sphere,pilot,1,14900.0,12.504232808602634
RS,sphere,pilot,1,15000.0,12.504232808602634
RS,sphere,pilot,1,15100.0,12.504232808602634
RS,sphere,pilot,1,15200.0,12.504232808602634
RS,sphere,pilot,1,15300.0,12.504232808602634
RS,sphere,pilot,1,15400.0,12.504232808602634
RS,sphere,pilot,1,15500.0,12.504232808602634
RS,sphere,pilot,1,15600.0,12.504232808602634
RS,sphere,pilot,1,15700.0,12.504232808602634
RS,sphere,pilot,1,15800.0,12.504232808602634
RS,sphere,pilot,1,15900.0,12.504232808602634
RS,sphere,pilot,1,16000.0,12.504232808602634
RS,sphere,pilot,1,16100.0,12.504232808602634
RS,sphere,pilot,1,16200.0,12.504232808602634
RS,sphere,pilot,1,16300.0,12.504232808602634
RS,sphere,pilot,1,16400.0,12.504232808602634
RS,sphere,pilot,1,16500.0,12.504232808602634
RS,sphere,pilot,1,16600.0,12.504232808602634
RS,sphere,pilot,1,16700.0,12.504232808602634
RS,sphere,pilot,1,16800.0,12.504232808602634
RS,sphere,pilot,1,16900.0,12.504232808602634
RS,sphere,pilot,1,17000.0,12.504232808602634
RS,sphere,pilot,1,17100.0,12.504232808602634
RS,sphere,pilot,1,17200.0,12.504232808602634
RS,sphere,pilot,1,17300.0,12.504232808602634
RS,sphere,pilot,1,17400.0,12.504232808602634
RS,sphere,pilot,1,17500.0,12.504232808602634
RS,sphere,pilot,1,17600.0,12.504232808602634
RS,sphere,pilot,1,17700.0,12.504232808602634
RS,sphere,pilot,1,17800.0,12.504232808602634
RS,sphere,pilot,1,17900.0,12.504232808602634
RS,sphere,pilot,1,18000.0,12.504232808602634
RS,sphere,pilot,1,18100.0,12.504232808602634
RS,sphere,pilot,1,18200.0,12.504232808602634
RS,sphere,pilot,1,18300.0,12.504232808602634
RS,sphere,pilot,1,18400.0,12.504232808602634
RS,sphere,pilot,1,18500.0,12.504232808602634
RS,sphere,pilot,1,18600.0,12.504232808602634
RS,sphere,pilot,1,18700.0,12.504232808602634
RS,sphere,pilot,1,18800.0,12.504232808602634
RS,sphere,pilot,1,18900.0,12.504232808602634
RS,sphere,pilot,1,19000.0,12.504232808602634
RS,sphere,pilot,1,19100.0,12.504232808602634
RS,sphere,pilot,1,19200.0,12.504232808602634
RS,sphere,pilot,1,19300.0,12.504232808602634
RS,sphere,pilot,1,19400.0,12.504232808602634
RS,sphere,pilot,1,19500.0,12.504232808602634
RS,sphere,pilot,1,19600.0,12.504232808602634
RS,sphere,pilot,1,19700.0,12.504232808602634
RS,sphere,pilot,1,19800.0,12.504232808602634
RS,sphere,pilot,1,19900.0,12.504232808602634
RS,sphere,pilot,1,20000.0,12.504232808602634
RS,sphere,pilot,2,100.0,26.87304480415976
RS,sphere,pilot,2,200.0,26.87304480415976
RS,sphere,pilot,2,300.0,26.87304480415976
RS,sphere,pilot,2,400.0,25.98551208262145
RS,sphere,pilot,2,500.0,25.98551208262145
RS,sphere,pilot,2,600.0,25.98551208262145
RS,sphere,pilot,2,700.0,18.166741639666466
RS,sphere,pilot,2,800.0,18.166741639666466
RS,sphere,pilot,2,900.0,15.465882292452896
RS,sphere,pilot,2,1000.0,15.465882292452896
RS,sphere,pilot,2,1100.0,15.465882292452896
RS,sphere,pilot,2,1200.0,15.465882292452896
RS,sphere,pilot,2,1300.0,15.465882292452896
RS,sphere,pilot,2,1400.0,15.465882292452896
RS,sphere,pilot,2,1500.0,15.465882292452896
RS,sphere,pilot,2,1600.0,15.465882292452896
RS,sphere,pilot,2,1700.0,15.465882292452896
RS,sphere,pilot,2,1800.0,15.465882292452896
RS,sphere,pilot,2,1900.0,15.465882292452896
RS,sphere,pilot,2,2000.0,15.465882292452896
RS,sphere,pilot,2,2100.0,15.465882292452896
RS,sphere,pilot,2,2200.0,15.465882292452896
RS,sphere,pilot,2,2300.0,15.465882292452896
RS,sphere,pilot,2,2400.0,15.465882292452896
RS,sphere,pilot,2,2500.0,15.465882292452896
RS,sphere,pilot,2,2600.0,15.465882292452896
RS,sphere,pilot,2,2700.0,15.465882292452896
RS,sphere,pilot,2,2800.0,15.465882292452896
RS,sphere,pilot,2,2900.0,15.465882292452896
RS,sphere,pilot,2,3000.0,15.465882292452896
RS,sphere,pilot,2,3100.0,15.465882292452896
RS,sphere,pilot,2,3200.0,15.465882292452896
RS,sphere,pilot,2,3300.0,15.465882292452896
RS,sphere,pilot,2,3400.0,15.465882292452896
RS,sphere,pilot,2,3500.0,15.465882292452896
RS,sphere,pilot,2,3600.0,15.465882292452896
RS,sphere,pilot,2,3700.0,15.465882292452896
RS,sphere,pilot,2,3800.0,15.465882292452896
RS,sphere,pilot,2,3900.0,15.465882292452896
RS,sphere,pilot,2,4000.0,15.465882292452896
RS,sphere,pilot,2,4100.0,15.465882292452896
RS,sphere,pilot,2,4200.0,15.465882292452896
RS,sphere,pilot,2,4300.0,15.465882292452896
RS,sphere,pilot,2,4400.0,15.465882292452896
RS,sphere,pilot,2,4500.0,15.465882292452896
RS,sphere,pilot,2,4600.0,15.465882292452896
RS,sphere,pilot,2,4700.0,15.465882292452896
RS,sphere,pilot,2,4800.0,15.465882292452896
RS,sphere,pilot,2,4900.0,15.465882292452896
RS,sphere,pilot,2,5000.0,15.465882292452896
RS,sphere,pilot,2,5100.0,15.465882292452896
RS,sphere,pilot,2,5200.0,15.465882292452896
RS,sphere,pilot,2,5300.0,15.465882292452896
RS,sphere,pilot,2,5400.0,15.465882292452896
RS,sphere,pilot,2,5500.0,15.465882292452896
RS,sphere,pilot,2,5600.0,15.465882292452896
RS,sphere,pilot,2,5700.0,15.465882292452896
RS,sphere,pilot,2,5800.0,15.465882292452896
RS,sphere,pilot,2,5900.0,15.465882292452896
RS,sphere,pilot,2,6000.0,15.465882292452896
RS,sphere,pilot,2,6100.0,15.465882292452896
RS,sphere,pilot,2,6200.0,15.465882292452896
RS,sphere,pilot,2,6300.0,15.465882292452896
RS,sphere,pilot,2,6400.0,15.465882292452896
RS,sphere,pilot,2,6500.0,15.465882292452896
RS,sphere,pilot,2,6600.0,15.465882292452896
RS,sphere,pilot,2,6700.0,15.465882292452896
RS,sphere,pilot,2,6800.0,15.465882292452896
RS,sphere,pilot,2,6900.0,15.465882292452896
RS,sphere,pilot,2,7000.0,15.465882292452896
RS,sphere,pilot,2,7100.0,15.465882292452896
RS,sphere,pilot,2,7200.0,15.465882292452896
RS,sphere,pilot,2,7300.0,15.465882292452896
RS,sphere,pilot,2,7400.0,15.465882292452896
RS,sphere,pilot,2,7500.0,15.465882292452896
RS,sphere,pilot,2,7600.0,15.465882292452896
RS,sphere,pilot,2,7700.0,15.465882292452896
RS,sphere,pilot,2,7800.0,15.465882292452896
RS,sphere,pilot,2,7900.0,15.465882292452896
RS,sphere,pilot,2,8000.0,15.465882292452896
RS,sphere,pilot,2,8100.0,15.465882292452896
RS,sphere,pilot,2,8200.0,15.465882292452896
RS,sphere,pilot,2,8300.0,15.465882292452896
RS,sphere,pilot,2,8400.0,15.465882292452896
RS,sphere,pilot,2,8500.0,15.465882292452896
RS,sphere,pilot,2,8600.0,15.465882292452896
RS,sphere,pilot,2,8700.0,15.465882292452896
RS,sphere,pilot,2,8800.0,15.465882292452896
RS,sphere,pilot,2,8900.0,15.465882292452896
RS,sphere,pilot,2,9000.0,15.465882292452896
RS,sphere,pilot,2,9100.0,15.465882292452896
RS,sphere,pilot,2,9200.0,15.465882292452896
RS,sphere,pilot,2,9300.0,15.465882292452896
RS,sphere,pilot,2,9400.0,15.465882292452896
RS,sphere,pilot,2,9500.0,15.465882292452896
RS,sphere,pilot,2,9600.0,15.465882292452896
RS,sphere,pilot,2,9700.0,15.465882292452896
RS,sphere,pilot,2,9800.0,15.465882292452896
RS,sphere,pilot,2,9900.0,15.465882292452896
RS,sphere,pilot,2,10000.0,15.465882292452896
RS,sphere,pilot,2,10100.0,15.465882292452896
RS,sphere,pilot,2,10200.0,15.465882292452896
RS,sphere,pilot,2,10300.0,15.465882292452896
RS,sphere,pilot,2,10400.0,15.465882292452896
RS,sphere,pilot,2,10500.0,15.465882292452896
RS,sphere,pilot,2,10600.0,15.465882292452896
RS,sphere,pilot,2,10700.0,15.465882292452896
RS,sphere,pilot,2,10800.0,15.465882292452896
RS,sphere,pilot,2,10900.0,15.465882292452896
RS,sphere,pilot,2,11000.0,15.465882292452896
RS,sphere,pilot,2,11100.0,15.465882292452896
RS,sphere,pilot,2,11200.0,15.465882292452896
RS,sphere,pilot,2,11300.0,15.465882292452896
RS,sphere,pilot,2,11400.0,15.465882292452896
RS,sphere,pilot,2,11500.0,15.465882292452896
RS,sphere,pilot,2,11600.0,15.465882292452896
RS,sphere,pilot,2,11700.0,15.465882292452896
RS,sphere,pilot,2,11800.0,15.465882292452896
RS,sphere,pilot,2,11900.0,15.465882292452896
RS,sphere,pilot,2,12000.0,15.465882292452896
RS,sphere,pilot,2,12100.0,15.465882292452896
RS,sphere,pilot,2,12200.0,15.465882292452896
RS,sphere,pilot,2,12300.0,15.465882292452896
RS,sphere,pilot,2,12400.0,15.465882292452896
RS,sphere,pilot,2,12500.0,15.465882292452896
RS,sphere,pilot,2,12600.0,15.465882292452896
RS,sphere,pilot,2,12700.0,15.465882292452896
RS,sphere,pilot,2,12800.0,15.465882292452896
RS,sphere,pilot,2,12900.0,15.465882292452896
RS,sphere,pilot,2,13000.0,15.465882292452896
RS,sphere,pilot,2,13100.0,15.465882292452896
RS,sphere,pilot,2,13200.0,15.465882292452896
RS,sphere,pilot,2,13300.0,15.465882292452896
RS,sphere,pilot,2,13400.0,15.465882292452896
RS,sphere,pilot,2,13500.0,15.465882292452896
RS,sphere,pilot,2,13600.0,15.465882292452896
RS,sphere,pilot,2,13700.0,15.465882292452896
