algorithm,function,seed_type,seed,best_f
GA,rastrigin,final,110,1.9192241582490652
GA,rastrigin,final,111,0.2882737784358369
GA,rastrigin,final,112,0.5420248888727173
GA,rastrigin,final,113,0.7589342484457404
GA,rastrigin,final,114,0.6574062283066411
GA,rastrigin,final,115,1.4786039622309346
GA,rastrigin,final,116,0.479566697236649
GA,rastrigin,final,117,0.516023734768396
GA,rastrigin,final,118,2.1390151384513985
GA,rastrigin,final,119,0.5441596899307513
RS,rosenbrock,pilot,0,13790.556153169255
RS,rosenbrock,pilot,1,10982.772528962572
RS,rosenbrock,pilot,2,10017.025367117023
RS,rosenbrock,pilot,3,9896.782570567197
RS,rosenbrock,pilot,4,6410.067163699115
RS,rosenbrock,final,100,16850.772712344246
RS,rosenbrock,final,101,14194.189772053163
RS,rosenbrock,final,102,7926.107351626627
RS,rosenbrock,final,103,7665.254697301303
RS,rosenbrock,final,104,13142.89978132401
RS,rosenbrock,final,105,12627.63810507645
RS,rosenbrock,final,106,9224.009065965261
RS,rosenbrock,final,107,7623.635830928746
RS,rosenbrock,final,108,10502.865734247827
RS,rosenbrock,final,109,6469.44174976365
RS,rosenbrock,final,110,9701.300448495966
RS,rosenbrock,final,111,8383.438027699785
RS,rosenbrock,final,112,5219.0087698138705
RS,rosenbrock,final,113,7812.93151670811
RS,rosenbrock,final,114,5704.244644449948
RS,rosenbrock,final,115,10448.819516918213
RS,rosenbrock,final,116,4435.851310172887
RS,rosenbrock,final,117,7603.343519487614
RS,rosenbrock,final,118,14401.459710952611
RS,rosenbrock,final,119,3874.108604067501
HC,rosenbrock,pilot,0,87.3606254510864
HC,rosenbrock,pilot,1,63.356489958158484
HC,rosenbrock,pilot,2,49.90871746865105
HC,rosenbrock,pilot,3,80.78711665358287
HC,rosenbrock,pilot,4,83.82279272542097
HC,rosenbrock,final,100,62.709333748837324
HC,rosenbrock,final,101,86.1125854601463
HC,rosenbrock,final,102,79.65271593613794
HC,rosenbrock,final,103,71.38275679576475
HC,rosenbrock,final,104,56.16415557236605
HC,rosenbrock,final,105,69.78779021843799
HC,rosenbrock,final,106,39.82439322765423
